HMY,ITYPE,HPOINTER,DTDATE,DSQFT0,DSQFT1,DSQFT2,DSQFT3,DSQFT4,DSQFT5,DSQFT6,DSQFT7,DSQFT8,DSQFT9,DSQFT10,DSQFT11,DSQFT12,DSQFT13,DSQFT14,DSQFT15,sNotes,TDtDate,hUserCreatedBy,dtCreated,hUserModifiedBy,dtLastModified,hForeignDb,sExtReference,hCopyFrom,tRowVersion
1135,3,803,00:00.0,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.5,2,45:09.5,NULL,NULL,NULL,0x0000000001E2A3A5
1136,3,803,00:00.0,49915,49915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.5,2,45:09.5,NULL,NULL,NULL,0x0000000001E2A3A7
1137,3,803,00:00.0,50810,50810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.5,2,45:09.5,NULL,NULL,NULL,0x0000000001E2A3A9
1138,3,803,00:00.0,50475,46475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.6,2,45:09.6,NULL,NULL,NULL,0x0000000001E2A3AB
1139,480,60,00:00.0,58149,58149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.6,2,45:09.6,NULL,NULL,NULL,0x0000000001E2A3AD
1140,480,60,00:00.0,57204,57204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.7,2,45:09.7,NULL,NULL,NULL,0x0000000001E2A3AF
1141,480,61,00:00.0,1756,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.7,2,45:09.7,NULL,NULL,NULL,0x0000000001E2A3B1
1142,3,806,00:00.0,59905,59905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.8,2,45:09.8,NULL,NULL,NULL,0x0000000001E2A3B3
1143,3,806,00:00.0,58960,58960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.8,2,45:09.8,NULL,NULL,NULL,0x0000000001E2A3B5
1144,480,62,00:00.0,50562,50562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.9,2,45:09.9,NULL,NULL,NULL,0x0000000001E2A3B7
1145,480,62,00:00.0,50596,50596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:09.9,2,45:09.9,NULL,NULL,NULL,0x0000000001E2A3B9
