HMY,HPROPERTY,HOWNER,DPERCENT,DINVESTMENT,DINVESTDATE,SREMARKS,dShares,dIncome,dDepreciation,dTaxCredit,dStateCredit,Stype,hForeignDb,sExtReference,tRowVersion
835,915,4891,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031F8C7F
836,916,4890,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031FA285
837,917,184,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000335CEBC
838,918,142,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000335CF85
839,921,4901,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000336C0FB
840,922,4901,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000336C111
841,930,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003667737
842,931,5082,100,0,NULL,,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C0FD
843,933,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C049
844,934,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C068
845,935,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C07D
846,936,5086,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C09A
847,937,5086,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C0C1
848,938,5085,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C0D6
849,939,5085,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000369C0EB
850,944,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000371B44F
851,945,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000371B513
852,946,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003874491
853,947,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000038745FD
854,948,5082,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000038746AE
855,952,5204,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003CA697B
856,953,5226,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003CFCF33
857,954,5226,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003CFCF48
858,955,5226,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D2548C
859,956,5226,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D254A1
860,957,5226,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D254B6
861,958,5204,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D6376C
862,959,5249,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D705DB
863,961,5250,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D70664
864,962,5251,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D706D5
865,963,5253,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D72485
866,964,5254,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D724BD
867,965,5255,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D724F4
868,966,5256,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D7253B
869,967,5257,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D72582
870,968,5259,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D741DB
871,969,5260,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D74210
872,970,5263,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003D92C20
873,972,5204,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003DD2489
874,973,5272,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000003E73304
